Paper,Year,Venue,Dataset,Task,N_subjects,N_channels,Preprocessing,Feature_type,Freq_bands,Segment_length_s,CV_scheme,Threshold,Majority_baseline_pct,Majority_baseline_reported,Reported_acc_pct,Std,Code_available,Credibility,Leakage_type
Khan et al. (meta-analysis),2025,arXiv,DEAP,binary V/A,32,32,various,various,various,various,k-fold / LOTO comparison,various,various,yes,53 (no seg) -> 99 (60 seg/trial),n/a,no,HIGH,segmentation leakage quantified
Kukhilava et al. (EEGain),2025,arXiv,DEAP,binary V/A,32,32,standardized,DE,4 bands,1s,LOSO,5.0,57-59 (majority),yes,51-57 (4 models),n/a,yes,HIGH,none (honest)
STSNet (Li et al.),2023,Health Inf Sci Sys,DEAP,binary V/A,32,32,bandpass 4-45Hz,DE,5 bands (incl phantom delta 1-3Hz),4s/50% overlap,LOSO 32-fold,5.0,,no,69.38 / 71.88,n/r,no,MEDIUM,no val split; phantom delta 1-3Hz
ATDD-LSTM (Du et al.),2020,IEEE TAFFC,DEAP,binary V/A,32,32,bandpass 4-45Hz,raw EEG,N/A (end-to-end),2s non-overlapping,LOSO 32-fold (transductive),5.0,,no,69.06 / 72.97,+/-6.37/+/-6.57,no,MEDIUM,transductive target adaptation
Pandey/Arjun et al.,2021,IEEE EMBC,DEAP,binary V/A,32,32,bandpass 4-45Hz,PSD,,4s/50% overlap,LOSO 32-fold,5.0,,no,65.9 / 69.5,+/-9.5/+/-9.7,no,MEDIUM-HIGH,cleanest non-transductive
ASJDA (Liu et al.),2024,IEEE TAFFC,DEAP,binary V/A,32,32,bandpass 4-45Hz,DE,5 bands (incl phantom delta),4s(?),LOSO 32-fold,5 (>5 high / <5 low; =5 unspecified),n/r,no,68.30 / 69.31,+/-8.93/+/-11.26,yes,MEDIUM,phantom delta band
DGAT (Ding et al.),2025,Front Psychiatry,DEAP,binary V/A,32,32,bandpass 4-45Hz,DE,theta/alpha/beta/gamma,4s,LOSO (claimed),n/r,n/r,no,84.27 / 83.84,+/-13.74/+/-10.20,no,LOW,no val split; likely test-set peak-epoch
TANet (Wang et al.),2025,Brain Sciences,DEAP,binary V/A,32,32,n/r,DE+PSD,5 bands (delta/theta/alpha/beta/gamma; Hz n/r),3s,segment-level random 9:1,5,58.9 V / 56.6 A,yes,99.69 (seg) / 63.94 (1-fold),+/-3.83,no,LOW,segment-level leakage (99%); single-fold LOSO (63%)
CogSci DualAttn (Zhang et al.),2024,CogSci 2024,DEAP,binary V/A,32,32,bandpass 4-45Hz,raw EEG,N/A (end-to-end),2s,25-shot adaptation,5.0,,no,72.35 / 71.77,+/-5.79/+/-5.60,no,MEDIUM,few-shot rebadged as LOSO; true 0-shot ~54%
SDA-DDA (Tang et al.),2025,arXiv,DEAP,binary V/A,32,32,STFT 5-band (DEAP-specific n/r),DE,5 bands (incl phantom delta),n/r,LOSO (claimed),n/r,n/r,no,61.44 / 62.86,+/-7.15/+/-10.58,no,VERY LOW,62ch/310D on 32ch dataset; phantom delta
SSA-RF (Zhang et al.),2024,MBE,DEAP,binary ?,32,32,baseline mean removed + 128Hz + 10s/50% overlap windowing,12 composite (9 time + 2 freq + 1 wavelet SE),5 bands (delta/theta/alpha/beta/gamma),10,15 random 25/7 splits (not LOSO),n/r,n/r,no,76.81,n/r,no,LOW,test-set in optimization; threshold unstated
DAMSDAN (Hu et al.),2025,arXiv,FACED,binary pos/neg,123,30,0.3-50Hz/200Hz,DE,5 bands,1s,10src->113tgt (NOT 10-fold),stimulus,50.0,no,82.88,+/-7.71,yes,MEDIUM,protocol deviation from Chen 2023
